id,created,abbr,name,location,timezone,hour,md5
159,1738108548,MMT,Myanmar Time,Asia,UTC + 6:30 hours,6.5,42d83b9a593994cccda9dbdc2aff02c6
160,1738108548,MSD,Moscow Daylight Time,Europe,UTC + 4 hours,4,"00df0376bd190d46de4447f69f7576db"
161,1738108548,MSK,Moscow Standard Time,Europe,UTC + 4 hours,4,a3a27c6706112a4c5edaa557ebc87fda
162,1738108548,MST,Mountain Standard Time,North America,UTC – 7 hours,-7,2fd7293edd2255ec734b1e3c8a3758a2
163,1738108548,MUT,Mauritius Time,Africa,UTC + 4 hours,4,8a56c2e6e8932a504331ba197f893dfd
164,1738108548,MVT,Maldives Time,Asia,UTC + 5 hours,5,a904ab36d2f23f158b3e22a277696b1f
165,1738108548,MYT,Malaysia Time,Asia,UTC + 8 hours,8,aff2da47e5f4c9d2769ba8299c2bf1b4
166,1738108548,N,November Time Zone,Military,UTC – 1 hour,-1,6e6fb0e0469e7fa29e76ce9820c05f67
167,1738108548,NCT,New Caledonia Time,Pacific,UTC + 11 hours,11,f9db177b996673c5526d5a0e2f3538f0
168,1738108548,NDT,Newfoundland Daylight Time,North America,UTC – 2:30 hours,-2.5,62d0575440a863a624d027ab723c605d
169,1738108548,NFT,Norfolk Time,Australia,UTC + 11:30 hours,11.5,cec27c0897a61e1c038d7350a1f5b532
170,1738108548,NOVST,Novosibirsk Summer Time,Asia,UTC + 7 hours,7,62aa38d6634b38a0a0f32bd08c115b74
171,1738108548,NOVT,Novosibirsk Time,Asia,UTC + 6 hours,6,a870c0f587e5a380f81b2d57000b52e1
172,1738108548,NPT,Nepal Time,Asia,UTC + 5:45 hours,5.75,"0f2b57c7b43c615577c44db91864ce51"
173,1738108548,NST,Newfoundland Standard Time,North America,UTC – 3:30 hours,-3.5,bdbbd5cb5465a7f4d3fa84e3182c93b7
174,1738108548,NUT,Niue Time,Pacific,UTC – 11 hours,-11,5f870c3e81454d751901685c7b537fb0
175,1738108548,NZDT,New Zealand Daylight Time,Antarctica,UTC + 13 hours,13,a842f2c2e15e833fe60f83fed5d8df31
176,1738108548,NZDT,New Zealand Daylight Time,Pacific,UTC + 13 hours,13,d90ac946a12a2d6475e54bbd377028e7
177,1738108548,NZST,New Zealand Standard Time,Antarctica,UTC + 12 hours,12,ed3c712c7cfef7bfddd9bb5433101c4c
